14/08/2026 17:00:50 - https://random-status-code.herokuapp.com -Online:false
14/08/2026 17:00:51 - https://www.alura.com.br -Online:true
14/08/2026 17:00:51 - https://www.caelum.com.br -Online:true
14/08/2026 17:00:52 - https://www.nike.com.br -Online:false
14/08/2026 17:00:52 - https://www.newbalance.com.br -Online:true
14/08/2026 17:01:03 - https://random-status-code.herokuapp.com -Online:false
14/08/2026 17:01:03 - https://www.alura.com.br -Online:true
14/08/2026 17:01:04 - https://www.caelum.com.br -Online:true
14/08/2026 17:01:04 - https://www.nike.com.br -Online:false
14/08/2026 17:01:04 - https://www.newbalance.com.br -Online:true
14/08/2026 17:01:16 - https://random-status-code.herokuapp.com -Online:false
14/08/2026 17:01:16 - https://www.alura.com.br -Online:true
14/08/2026 17:01:16 - https://www.caelum.com.br -Online:true
14/08/2026 17:01:17 - https://www.nike.com.br -Online:false
14/08/2026 17:01:17 - https://www.newbalance.com.br -Online:true
14/08/2026 17:01:28 - https://random-status-code.herokuapp.com -Online:false
14/08/2026 17:01:28 - https://www.alura.com.br -Online:true
14/08/2026 17:01:28 - https://www.caelum.com.br -Online:true
14/08/2026 17:01:28 - https://www.nike.com.br -Online:false
14/08/2026 17:01:28 - https://www.newbalance.com.br -Online:true
14/08/2026 17:01:39 - https://random-status-code.herokuapp.com -Online:false
14/08/2026 17:01:40 - https://www.alura.com.br -Online:true
14/08/2026 17:01:40 - https://www.caelum.com.br -Online:true
14/08/2026 17:01:40 - https://www.nike.com.br -Online:false
14/08/2026 17:01:40 - https://www.newbalance.com.br -Online:true
14/08/2026 17:06:27 - https://random-status-code.herokuapp.com - Online:false
14/08/2026 17:06:27 - https://www.alura.com.br - Online:true
14/08/2026 17:06:27 - https://www.caelum.com.br - Online:true
14/08/2026 17:06:28 - https://www.nike.com.br - Online:false
14/08/2026 17:06:28 - https://www.newbalance.com.br - Online:true
14/08/2026 17:06:40 - https://random-status-code.herokuapp.com - Online:false
14/08/2026 17:06:40 - https://www.alura.com.br - Online:true
14/08/2026 17:06:40 - https://www.caelum.com.br - Online:true
14/08/2026 17:06:40 - https://www.nike.com.br - Online:false
14/08/2026 17:06:40 - https://www.newbalance.com.br - Online:true
14/08/2026 17:06:51 - https://random-status-code.herokuapp.com - Online:false
14/08/2026 17:06:52 - https://www.alura.com.br - Online:true
14/08/2026 17:06:52 - https://www.caelum.com.br - Online:true
14/08/2026 17:06:52 - https://www.nike.com.br - Online:false
14/08/2026 17:06:52 - https://www.newbalance.com.br - Online:true
14/08/2026 17:07:04 - https://random-status-code.herokuapp.com - Online:false
14/08/2026 17:07:04 - https://www.alura.com.br - Online:true
14/08/2026 17:07:04 - https://www.caelum.com.br - Online:true
14/08/2026 17:07:04 - https://www.nike.com.br - Online:false
14/08/2026 17:07:04 - https://www.newbalance.com.br - Online:true
14/08/2026 17:07:15 - https://random-status-code.herokuapp.com - Online:false
14/08/2026 17:07:16 - https://www.alura.com.br - Online:true
14/08/2026 17:07:16 - https://www.caelum.com.br - Online:true
14/08/2026 17:07:16 - https://www.nike.com.br - Online:false
14/08/2026 17:07:16 - https://www.newbalance.com.br - Online:true
17/08/2026 18:46:35 - https://random-status-code.herokuapp.com - Online:false
17/08/2026 18:46:36 - https://www.alura.com.br - Online:true
17/08/2026 18:46:37 - https://www.caelum.com.br - Online:true
17/08/2026 18:46:38 - https://www.nike.com.br - Online:false
17/08/2026 18:46:38 - https://www.newbalance.com.br - Online:true
17/08/2026 18:46:49 - https://random-status-code.herokuapp.com - Online:false
17/08/2026 18:46:49 - https://www.alura.com.br - Online:true
17/08/2026 18:46:49 - https://www.caelum.com.br - Online:true
17/08/2026 18:46:50 - https://www.nike.com.br - Online:false
17/08/2026 18:46:50 - https://www.newbalance.com.br - Online:true
17/08/2026 18:47:01 - https://random-status-code.herokuapp.com - Online:false
17/08/2026 18:47:01 - https://www.alura.com.br - Online:true
17/08/2026 18:47:01 - https://www.caelum.com.br - Online:true
17/08/2026 18:47:01 - https://www.nike.com.br - Online:false
17/08/2026 18:47:01 - https://www.newbalance.com.br - Online:true
17/08/2026 18:47:12 - https://random-status-code.herokuapp.com - Online:false
17/08/2026 18:47:13 - https://www.alura.com.br - Online:true
17/08/2026 18:47:13 - https://www.caelum.com.br - Online:true
17/08/2026 18:47:13 - https://www.nike.com.br - Online:false
17/08/2026 18:47:13 - https://www.newbalance.com.br - Online:true
17/08/2026 18:47:24 - https://random-status-code.herokuapp.com - Online:false
17/08/2026 18:47:25 - https://www.alura.com.br - Online:true
17/08/2026 18:47:25 - https://www.caelum.com.br - Online:true
17/08/2026 18:47:25 - https://www.nike.com.br - Online:false
17/08/2026 18:47:25 - https://www.newbalance.com.br - Online:true
18/08/2026 20:44:22 - https://random-status-code.herokuapp.com - Online:false
18/08/2026 20:44:22 - https://www.alura.com.br - Online:true
18/08/2026 20:44:23 - https://www.caelum.com.br - Online:true
18/08/2026 20:44:23 - https://www.nike.com.br - Online:false
18/08/2026 20:44:23 - https://www.newbalance.com.br - Online:true
